Диапазон аргумента: -3<=x<=3
Функция:
if (x >= 0) 
	x = sin(PI)
else 
	x = PI * pow(x, 2)
Вывод в порядке возрастания x
x=-3.0; f(x)=28.274333882308138
x=-2.5; f(x)=19.634954084936208
x=-2.0; f(x)=12.566370614359172
x=-1.5; f(x)=7.0685834705770345
x=-1.0; f(x)=3.141592653589793
x=-0.5; f(x)=0.7853981633974483
x=0.0; f(x)=0.0
x=0.5; f(x)=6.123233995736766E-17
x=1.0; f(x)=1.2246467991473532E-16
x=1.5; f(x)=1.8369701987210297E-16
x=2.0; f(x)=2.4492935982947064E-16
x=2.5; f(x)=3.061616997868383E-16
x=3.0; f(x)=3.6739403974420594E-16
